nthreads,test,routine,MFLOPS
6,xcl3,trsm,324029.17
6,xzl3,gemm,368171.18
6,xzl3,hemm,371092.48
6,xzl3,herk,268820.35
6,xzl3,her2k,278378.92
6,xzl3,symm,380544.95
6,xzl3,syr2k,275899.56
6,xzl3,syrk,270923.20
6,xzl3,trmm,311481.95
6,xzl3,trsm,250247.81
6,xdl3,gemm,293743.52
6,xdl3,symm,291406.08
6,xdl3,syrk,199983.66
6,xdl3,syr2k,217720.15
6,xdl3,trmm,232554.12
6,xdl3,trsm,150694.80
6,xsl3,gemm,477507.21
6,xsl3,symm,478202.57
6,xsl3,syrk,312096.72
6,xsl3,syr2k,366733.06
6,xsl3,trmm,357156.40
6,xsl3,trsm,132579.25
7,xcl1,nrm2,2833.27
7,xcl1,amax,1572.88
7,xcl1,asum,1776.47
7,xcl1,axpy,6787.45
7,xcl1,copy,1952.81
7,xcl1,swap,3142.86
7,xcl1,dotc,7517.50
7,xcl1,dotu,7648.40
7,xzl1,nrm2,2609.78
7,xzl1,amax,1496.43
7,xzl1,asum,1682.96
7,xzl1,axpy,3285.13
7,xzl1,copy,915.57
7,xzl1,swap,1532.23
7,xzl1,dotc,3415.98
7,xzl1,dotu,3432.63
7,xdl1,nrm2,560.58
7,xdl1,amax,2120.47
7,xdl1,asum,1616.00
7,xdl1,axpy,1689.90
7,xdl1,copy,917.01
7,xdl1,swap,1570.70
7,xdl1,dot,2064.62
7,xdl1,rotm,4030.93
7,xsl1,nrm2,650.96
7,xsl1,amax,4516.90
7,xsl1,asum,1716.80
7,xsl1,axpy,3831.81
7,xsl1,copy,2030.65
7,xsl1,swap,3507.06
7,xsl1,dot,4844.50
7,xsl1,rotm,6472.16
7,xsl1,dsdot,1774.98
7,xsl1,sdsdot,1738.42
7,xcl2,gbmv,2601.36
7,xcl2,gemv,10386.55
7,xcl2,hbmv,3324.66
7,xcl2,hpmv,4613.73
7,xcl2,hemv,15121.90
7,xcl2,tbmv,2357.27
7,xcl2,tpmv,5835.47
7,xcl2,trmv,9721.61
7,xcl2,tbsv,1083.11
7,xcl2,tpsv,13033.96
7,xcl2,trsv,10231.33
7,xcl2,gerc,7476.28
7,xcl2,geru,7473.01
7,xcl2,ger2c,7524.12
7,xcl2,ger2u,7487.86
7,xcl2,hpr,11255.98
7,xcl2,her,7303.15
7,xcl2,hpr2,19807.47
7,xcl2,her2,11371.37
7,xzl2,gbmv,3016.61
7,xzl2,gemv,5747.88
7,xzl2,hbmv,3310.03
7,xzl2,hpmv,4909.52
7,xzl2,hemv,9578.32
7,xzl2,tbmv,2544.22
7,xzl2,tpmv,4890.12
7,xzl2,trmv,5473.26
7,xzl2,tbsv,971.51
7,xzl2,tpsv,6300.52
7,xzl2,trsv,5690.16
7,xdl2,gbmv,961.36
7,xdl2,gemv,3415.58
7,xdl2,sbmv,1457.18
7,xdl2,spmv,3236.52
7,xdl2,symv,4984.81
7,xdl2,tbmv,617.55
7,xdl2,tpmv,3393.36
7,xdl2,trmv,3275.26
7,xdl2,tbsv,380.31
7,xdl2,tpsv,3640.71
7,xdl2,trsv,3497.76
7,xdl2,ger,2785.80
7,xdl2,ger2,2817.18
7,xdl2,spr,3063.28
7,xdl2,syr,2749.65
7,xdl2,spr2,5675.48
7,xdl2,syr2,5187.03
7,xsl2,gbmv,950.05
7,xsl2,gemv,7002.91
7,xsl2,sbmv,1529.32
7,xsl2,spmv,3502.45
7,xsl2,symv,6054.08
7,xsl2,tbmv,524.11
7,xsl2,tpmv,6874.51
7,xsl2,trmv,6528.35
7,xsl2,tbsv,405.17
7,xsl2,tpsv,7902.35
7,xsl2,trsv,7217.82
7,xsl2,ger,5390.53
7,xsl2,ger2,5450.37
7,xsl2,spr,6413.93
7,xsl2,syr,5206.52
7,xsl2,spr2,11885.03
7,xsl2,syr2,9732.61
7,xcl3,gemm,704743.05
7,xcl3,hemm,700444.66
7,xcl3,herk,440140.75
7,xcl3,her2k,489409.61
7,xcl3,symm,686272.20
7,xcl3,syr2k,491707.77
7,xcl3,syrk,455884.45
