nthreads,test,routine,MFLOPS
4,xsl2,spr,6444.70
4,xsl2,syr,5315.45
4,xsl2,spr2,12102.15
4,xsl2,syr2,9833.52
4,xcl3,gemm,476343.97
4,xcl3,hemm,484981.33
4,xcl3,herk,353111.30
4,xcl3,her2k,361887.13
4,xcl3,symm,473941.73
4,xcl3,syr2k,364899.61
4,xcl3,syrk,343294.06
4,xcl3,trmm,385930.90
4,xcl3,trsm,235731.38
4,xzl3,gemm,259625.81
4,xzl3,hemm,276453.60
4,xzl3,herk,207214.45
4,xzl3,her2k,206287.72
4,xzl3,symm,271388.21
4,xzl3,syr2k,206674.41
4,xzl3,syrk,208673.33
4,xzl3,trmm,228829.92
4,xzl3,trsm,188944.87
4,xdl3,gemm,218797.82
4,xdl3,symm,213310.23
4,xdl3,syrk,154607.35
4,xdl3,syr2k,167895.92
4,xdl3,trmm,175114.93
4,xdl3,trsm,112120.68
4,xsl3,gemm,368817.62
4,xsl3,symm,351140.87
4,xsl3,syrk,257511.15
4,xsl3,syr2k,288810.21
4,xsl3,trmm,280267.40
4,xsl3,trsm,98363.51
5,xcl1,nrm2,2774.15
5,xcl1,amax,1773.00
5,xcl1,asum,1733.95
5,xcl1,axpy,6944.63
5,xcl1,copy,2033.11
5,xcl1,swap,3195.87
5,xcl1,dotc,7878.92
5,xcl1,dotu,7810.81
5,xzl1,nrm2,2684.30
5,xzl1,amax,1255.73
5,xzl1,asum,1619.82
5,xzl1,axpy,3347.15
5,xzl1,copy,932.31
5,xzl1,swap,1554.83
5,xzl1,dotc,3515.13
5,xzl1,dotu,3493.56
5,xdl1,nrm2,601.72
5,xdl1,amax,2133.97
5,xdl1,asum,1506.85
5,xdl1,axpy,1735.46
5,xdl1,copy,1129.66
5,xdl1,swap,1583.16
5,xdl1,dot,2166.08
5,xdl1,rotm,4083.77
5,xsl1,nrm2,720.21
5,xsl1,amax,4563.06
5,xsl1,asum,1702.05
5,xsl1,axpy,3915.18
5,xsl1,copy,2102.27
5,xsl1,swap,3476.81
5,xsl1,dot,4940.31
5,xsl1,rotm,6486.07
5,xsl1,dsdot,1728.73
5,xsl1,sdsdot,1734.76
5,xcl2,gbmv,2996.06
