nthreads,test,routine,MFLOPS
3,xcl3,syr2k,373435.40
3,xcl3,syrk,346798.42
3,xcl3,trmm,295467.61
3,xcl3,trsm,222714.58
3,xzl3,gemm,219757.61
3,xzl3,hemm,227937.22
3,xzl3,herk,168804.02
3,xzl3,her2k,194655.02
3,xzl3,symm,227033.62
3,xzl3,syr2k,185394.23
3,xzl3,syrk,163249.87
3,xzl3,trmm,161754.73
3,xzl3,trsm,155100.41
3,xdl3,gemm,205013.98
3,xdl3,symm,178937.48
3,xdl3,syrk,116837.12
3,xdl3,syr2k,147788.23
3,xdl3,trmm,168365.66
3,xdl3,trsm,63473.52
3,xsl3,gemm,354260.60
3,xsl3,symm,291980.47
3,xsl3,syrk,225619.18
3,xsl3,syr2k,277297.07
3,xsl3,trmm,260531.82
3,xsl3,trsm,130826.68
4,xcl1,nrm2,13519.15
4,xcl1,amax,4965.60
4,xcl1,asum,8630.85
4,xcl1,axpy,22266.46
4,xcl1,copy,1949.55
4,xcl1,swap,3059.43
4,xcl1,dotc,8402.10
4,xcl1,dotu,8431.90
4,xzl1,nrm2,6543.05
4,xzl1,amax,2356.12
4,xzl1,asum,3741.81
4,xzl1,axpy,11164.23
4,xzl1,copy,910.57
4,xzl1,swap,1487.47
4,xzl1,dotc,12686.67
4,xzl1,dotu,12660.32
4,xdl1,nrm2,3646.68
4,xdl1,amax,2850.83
4,xdl1,asum,4890.55
4,xdl1,axpy,5609.88
4,xdl1,copy,926.12
4,xdl1,swap,1526.45
4,xdl1,dot,6562.10
4,xdl1,rotm,4007.61
4,xsl1,nrm2,6713.92
4,xsl1,amax,7590.76
4,xsl1,asum,11741.76
4,xsl1,axpy,11623.56
4,xsl1,copy,2074.72
4,xsl1,swap,3377.08
4,xsl1,dot,5238.66
4,xsl1,rotm,6765.90
4,xsl1,dsdot,4824.13
4,xsl1,sdsdot,4813.58
4,xcl2,gbmv,3023.87
4,xcl2,gemv,43189.08
4,xcl2,hbmv,1323.48
4,xcl2,hpmv,68110.57
4,xcl2,hemv,67440.47
4,xcl2,tbmv,1776.33
4,xcl2,tpmv,45137.60
4,xcl2,trmv,39802.63
4,xcl2,tbsv,1077.27
4,xcl2,tpsv,14003.60
4,xcl2,trsv,12786.10
4,xcl2,gerc,34740.88
4,xcl2,geru,34726.37
4,xcl2,ger2c,27899.92
4,xcl2,ger2u,35055.78
4,xcl2,hpr,35105.10
4,xcl2,her,32798.23
4,xcl2,hpr2,60461.65
4,xcl2,her2,57318.12
4,xzl2,gbmv,2033.27
4,xzl2,gemv,21883.41
4,xzl2,hbmv,1690.05
4,xzl2,hpmv,35702.41
4,xzl2,hemv,38362.32
4,xzl2,tbmv,1185.80
4,xzl2,tpmv,22482.30
4,xzl2,trmv,21232.76
4,xzl2,tbsv,1036.51
4,xzl2,tpsv,6693.66
4,xzl2,trsv,6118.06
4,xdl2,gbmv,782.78
4,xdl2,gemv,11099.60
4,xdl2,sbmv,559.86
4,xdl2,spmv,5705.55
4,xdl2,symv,22127.75
4,xdl2,tbmv,422.26
4,xdl2,tpmv,11512.71
4,xdl2,trmv,10489.95
4,xdl2,tbsv,414.07
4,xdl2,tpsv,3830.50
4,xdl2,trsv,3382.47
4,xdl2,ger,8916.77
4,xdl2,ger2,8995.20
4,xdl2,spr,8871.68
4,xdl2,syr,8453.58
4,xdl2,spr2,15368.75
4,xdl2,syr2,14735.61
4,xsl2,gbmv,1301.88
4,xsl2,gemv,21731.13
4,xsl2,sbmv,770.77
4,xsl2,spmv,12028.08
4,xsl2,symv,40551.46
4,xsl2,tbmv,650.53
4,xsl2,tpmv,22307.31
4,xsl2,trmv,19091.62
4,xsl2,tbsv,402.16
4,xsl2,tpsv,8399.87
4,xsl2,trsv,6861.17
4,xsl2,ger,16898.01
4,xsl2,ger2,17487.20
4,xsl2,spr,18099.40
4,xsl2,syr,15448.77
4,xsl2,spr2,31023.18
4,xsl2,syr2,27045.81
4,xcl3,gemm,419306.20
4,xcl3,hemm,561339.16
4,xcl3,herk,439645.01
4,xcl3,her2k,467201.92
4,xcl3,symm,549159.88
4,xcl3,syr2k,472405.82
4,xcl3,syrk,441801.38
4,xcl3,trmm,370908.42
4,xcl3,trsm,288945.68
4,xzl3,gemm,288711.22
4,xzl3,hemm,288227.55
4,xzl3,herk,210446.83
4,xzl3,her2k,243899.96
4,xzl3,symm,290782.40
4,xzl3,syr2k,233287.46
4,xzl3,syrk,203791.16
4,xzl3,trmm,202870.90
4,xzl3,trsm,192676.41
4,xdl3,gemm,249627.11
4,xdl3,symm,217662.08
4,xdl3,syrk,131998.48
4,xdl3,syr2k,166245.83
4,xdl3,trmm,187460.91
4,xdl3,trsm,82414.73
4,xsl3,gemm,437947.66
4,xsl3,symm,361630.32
4,xsl3,syrk,239092.37
4,xsl3,syr2k,294769.05
4,xsl3,trmm,322528.27
4,xsl3,trsm,159917.66
5,xcl1,nrm2,13467.88
5,xcl1,amax,5139.88
5,xcl1,asum,8374.46
5,xcl1,axpy,22476.83
5,xcl1,copy,1949.80
5,xcl1,swap,3021.92
5,xcl1,dotc,8216.62
5,xcl1,dotu,8306.77
5,xzl1,nrm2,6488.40
5,xzl1,amax,2329.00
5,xzl1,asum,3694.35
5,xzl1,axpy,11228.88
5,xzl1,copy,904.36
5,xzl1,swap,1482.51
5,xzl1,dotc,12729.43
5,xzl1,dotu,12670.13
5,xdl1,nrm2,3583.82
5,xdl1,amax,2725.72
5,xdl1,asum,5053.15
5,xdl1,axpy,5647.11
5,xdl1,copy,906.23
5,xdl1,swap,1519.52
5,xdl1,dot,6480.40
5,xdl1,rotm,3987.50
5,xsl1,nrm2,6879.20
5,xsl1,amax,7325.87
5,xsl1,asum,11716.60
5,xsl1,axpy,11775.46
5,xsl1,copy,2074.72
5,xsl1,swap,3396.35
5,xsl1,dot,5187.16
5,xsl1,rotm,6755.42
5,xsl1,dsdot,4777.15
5,xsl1,sdsdot,4780.96
5,xcl2,gbmv,2978.03
5,xcl2,gemv,43632.16
5,xcl2,hbmv,1355.92
5,xcl2,hpmv,68836.01
5,xcl2,hemv,67028.51
5,xcl2,tbmv,1743.68
5,xcl2,tpmv,44800.40
5,xcl2,trmv,39889.33
5,xcl2,tbsv,1077.77
5,xcl2,tpsv,14119.46
5,xcl2,trsv,12830.82
5,xcl2,gerc,35074.55
5,xcl2,geru,34965.08
5,xcl2,ger2c,35317.40
5,xcl2,ger2u,35300.20
5,xcl2,hpr,35015.72
5,xcl2,her,32968.60
